,Title,info,Rating,Views,Description,Price
13,Sawan Present Set Of 20 Books | Colouring Books For Kid...,"Pin Binding, Manoj Publications Editorial Board",4,(13),"Sawan Present Set of 20 books, Colouring books for kids Copy to Colour Actions, Our Helper, Games & Sports, Sea Animals, Santa Claus, Fishes, Fairy Princess, Circus, Racing Cars Insects, Shapes, Super Hero, Gods, Baby Animals, Toys, Objects, Animals, Birds ,Birthday and Cartoons. That promotes creativity, helps kids develop skills and even improves concentration. Each Coloring book contains colouring pages to keep your young one occupied in a fun filled activity and learning.",₹285
15,Attitude Is Everything: Change Your Attitude ... Change...,"English, Paperback, Jeff Keller",4.5,"(39,344)","About the BookAttitude decides our altitude and when we change your attitude, we change your life. Attitude is Everything: Change Your Attitude...Change Your Life is a success manual that gives plans for us to take control of our lives and unleash the untapped potential. This book consists of 12 Lessons that cover a wide range of topics like paving one’s path, making commitments to oneself, confronting fears, etc.About the Author Jeff Keller is a speaker, seminar leader, and writer in the area of motivation and human potential. He delivers his motivational presentations to businesses, associations as well as educational institutions. Jeff is also an attorney who practised law for more than ten years before pursuing a full-time career as an inspirational speaker and writer.  ",₹161
16,Karma,"English, Paperback, Sadhguru",0,0,"A much-used word, Karma is loosely understood as a system of checks and balances in our lives, of good actions and bad deeds, of good thoughts and bad intentions. A system which seemingly ensures that at the end of the day one gets what one deserves. This grossly over-simplified understanding has created many complexities in our lives and taken away from us the very fundamentals of the joy of living. Through this book, not only does Sadhguru explain what Karma is and how we can use its concepts to enhance our lives, he also tells us about the Sutras, a step-by-step guide to navigating our way in this challenging world. In the process, we get a deeper, richer understanding of life and the power to craft our destinies.",₹259
17,Write Me A Love Story,"English, Paperback, Ravinder Singh",0,0,"The blue-eyed boy of Indian publishing, Abhimanyu Razdan is known for his bestselling romances, which move his readers to tears. PaperInk, an up-and-coming publishing house, is looking for an A-list author who will take them to the next level. So, when Abhimanyu's contract with his current publishers comes to an end, PaperInk decides to swoop in. But Abhimanyu isn't quite like the emotional and sensitive characters in the novels he writes. Callous, egoistic and drunk on success, he gets into a hot argument with Asmita, PaperInk's literary fiction editor, even before his first meeting with them. Already put off, despite her apology, he is even more incensed when he discovers that Asmita looks down on popular fiction, especially the kind he writes. He vows to teach her a lesson that could jeopardize her job. At each other's throats, Abhimanyu and Asmita are as different as can be, but fate has something else in store and they soon find that there is no running away from love.",₹200
18,Life's Amazing Secrets,"English, Paperback, Das Gaur Gopal",4.6,"(36,355)","Summary of the Book Life's Amazing Secrets: How to Find Balance and Purpose in Your Life is an engaging philosophical book that deals with deep and meaningful conversations on life between Gaur Gopal Das himself and his wealthy friend Harry. The conversation ranges from human conditions to finding one’s purpose in life. Whether you are on a journey to discover your true potential in life, looking for ways to strengthen your relationships or keys to stay happy in life, the author takes you through a beautiful journey with his insightful thoughts on these areas of life. Read this book to undertake this journey and discover the real you in the process.  About the Author Gaur Gopal Das is a monk whose ideologies and perspectives on ancient philosophy and modernity has made him a life coach to thousands of people around the globe. Das has been travelling the world since 2015 to share his wisdom with several people and corporate companies. He even posts various motivational videos and posts on social media, thereby making him one of the most famous monks in the world. His book, Life’s Amazing Secrets, talks about the different ways by which one can find a balance and purpose in life. ",₹165
19,Chanakya Neeti,"English, Paperback, Sharma Aachrya Vishwamitra",4.4,(266)," Complete Chanakya Neeti by Acharya Vishwamitra Sharma provides the intellectual, moral, and philosophical insights of the great economist and political strategist, Chanakya. This translation narrates the dos and don’ts of life to ensure success in the future.  Summary Of The Book  Complete Chanakya Neeti by Acharya Vishwamitra Sharma deals with the Indian philosopher, teacher, and royal advisor, Chanakya.   	Having been a teacher of political science and economics at Takshashila University, Chanakya was responsible for tutoring Chandragupta, the first Maurya emperor. The different rules and policies that governed the Maurya Empire was largely devised by Chanakya. Even after Chandragupta’s reign ended, he tutored and guided the next ruler, Bindusara.   	This book contains the one of the two works that were credited to Chanakya, Neetishastra. This work details how a person must live his/her life. It provides a list of ideal qualities one should follow and is a study of the Indian way of life. The term Neeti-Sutras was also developed and states how one should behave. The book contains details on how a ruler must run his kingdom and remain the ideal ruler for a long period of time.  	These were teachings that Chanakya provided to Chandragupta and his other students in order to rule the kingdom wisely. He is credited to have provided important resources in the field of classical economics. He has also been termed as the Indian Machiavelli due to the political governance he provides in his works.  	Acharya Vishwamitra Sharma’s translated work on Chanakya’s teachings provides readers with insight into the political and economical policies in the Maurya Empire. Complete Chanakya Neeti is a collection of educational treatises once taught at Takshashila University.  About Acharya Vishwamitra Sharma  	Acharya Vishwamitra Sharma is best known for authoring and translating the Complete Chanakya Neeti.  	He has also published a work called Famous Indians of the 20th Century.",₹99
20,Malgudi Days,"English, Paperback, Narayan R. K.",4.5,"(5,431)"," Malgudi Days is a captivating novel comprising three interesting stories based on the life in the small South Indian town of Malgudi, located on the banks of the river Sarayu.  Summary Of The Book  Malgudi Days is a novel that revolves around the happenings in a small fictional village named Malgudi, which is located on the banks of the river Sarayu in South India. This book is a collection of 32 short stories that are highly amusing. The remarkable feature of the stories present in this book is that they are all centered around the lives of mere commoners as they go about their daily routine. The stories present in this book mostly revolve around the relationships among family members as well as the social taboos in the mid-nineties.  	Through the course of this book, readers are introduced to a ten-year-old lad named Swaminathan, and his two closest friends, Mani and Rajam, whose fun-filled exploits provide a great deal of entertainment to the readers. In another story in this book, Chandran, whose apprehensions about life and issues related to love provide for an interesting read. One of the stories in this book entitled The English Teacher, revolves around incidents in the life of Jagan, and his son Mali. Along with providing the readers with an interesting story, the author also highlights the problem of the generation gap between parents and children.  	While some of the stories may keep the readers in splits of laughter, certain stories may actually cause the reader to cry, as they establish a connection between themselves and the reader. The stories present in Malgudi Days are highly thought-provoking, and make for a good read for individuals of all age groups. Malgudi Days was published for the first time in the year 1943 by Indian Thought Publications. Put together with a great deal of humor and grace, this classic piece of literature by R. K. Narayan is widely appreciated by its readers to this day. This novel, Malgudi Days, was also adapted into a television series that was aired in the year 1986, by Shankar Nag.  About R. K. Narayan  	R. K. Narayan was a renowned writer from India.  	Apart from this book, Narayan has written several other books, and some of them include An Astrologer’s Day And Other Stories, The Man-Eater of Malgudi, The Emerald Route, The Financial Expert, A Horse and Two Goats, The Vendor Of Sweets, and The Grandmother’s Tale And Selected Stories.  	He was born on the 10th of October, 1906, in Madras, India. Narayan is counted among the top three figures in the early periods of Indian Literature in English. He finished his schooling from Christian College High School, after which he earned his Bachelor’s degree from the Maharaja College of Mysore. As a result of his immense contribution towards the field of literature, Narayan was presented with several awards, some of the notable ones being the Padma Vibhushan, the AC Benson Medal, and the Sahitya Akademi Award. Narayan was also nominated to the upper house of the Indian Parliament, which is the Rajya Sabha. He passed away on the 13th of May, 2001.",₹146
23,Books For Kids 3 Years Old Board Book Blue Box Set Of 1...,"Hardcover, Sawan",0,0,"Books for kids 3 years old board book Blue Box Set Of 10 Board Books. gift set for kids ABC, numbers, fruits, birds, vegetables, colours, shapes, farm animals & pets, wild animals and transport. Is a storehouse of board-books which equip toddlers with all sorts of vocabulary needed by them to advance further in their life. The colourful pictures are sure to augment the interest of pre¬schoolers. This cute board-book box is comprised of ten themed books that impart the learning of formative topics needed by the toddlers in their infancy. Each board-book is equipped with beautifully coloured pictures accompanied by their corresponding words that are sure to build language skills and increase visual thinking of the young learners.",₹329
25,I Too Had a Love Story,"English, Paperback, Singh Ravinder",4.4,"(21,310)"," About the BookIf there is one genre that you would go back to reading again and again, it would probably be romance. Ravinder Singh’s I Too Had a Love Story is the story of Ravin and Khushi. They find each other on a matrimonial site and they soon become good friends. Their friendship gradually develops into something more than just a friendship and they decide to talk about it to their family members. The day is set for Ravin and Khushi’s engagement, but does everything go according to plan? Does fate play spoil-sport to this almost-perfect love story? You will need to read the book to know the answers to these questions. This is one tear-jerker that must be in every romantic soul’s ""must-read"" list. About the AuthorRavinder Singh is an Indian author and a software engineer who is known for his debut novel, I Too Had a Love Story. This bestseller is based on Singh’s real life. He also launched the audio version of this novel in 2011. Ravinder Singh has also ventured into book publishing with the launch of his publication house, Black Ink, in the year 2015. Some of Singh’s other popular books include Can Love Happen Twice?, Like it Happened Yesterday, Your Dreams are Mine Now, This Love that Feels Right, and Will You Still Love me?",₹154
26,Objective General English,"English, Paperback, Bakshi S.P.",4.4,"(43,666)","About the Book Objective General English is an essential book that will help brush-up the language skills of aspirants who are working towards clearing competitive examinations. If you’re appearing for entrance exams - Hotel Management, B.Ed, MBA, MCA courses, and those conducted by UPSC, this book will help you with your command over the language. Written by S.P. Bakshi, this book has been used by numerous people for many years. ",₹210
27,Picture Book Collections for Eary Learning (Set of 12) ...,"English, Cards, Inikao",4.3,"(13,368)","Early Learning Picture Books Set of 12 for Kids – Complete Set for Pre-school learning - Learn English Alphabets, Numbers, Name of Friuits, Flowers, Animals, Birds, Parts of Body, Shapes, Colours and Good Habits Make pre-school learning fun and interesting with this set of early learning picture books. This set is a complete all in one pre school book of early learning for beginner learners. Each all in one book contains 8 Pages made of 200GSM Art Board with lamination for water resistance. The bright images and bold letters ensues clear readability. Also, these non tearable books last longer as the kids can’t easily tear them. The book set contains 1 book each of alphabet book, numbers book, fruit book, flowers, vegetables, birds, vehicles, domestic animals, and wild animals, part of body, shapes & colours and good habits. •	NUMBERS & ALPHABETS – Now alphabets learning and number learning is fun and easy with the abc book and numbers book. This set contains 1 book each for alphabets and numbers. The English phonics are written in both small and capital letters in the abcd book and presented beautifully with colorful pictures for an easy learning. The numbers from 1 to 100 are written in numbers, words and character counts for fast learning. •	FRUITS, FLOWERS, ANIMALS & MORE – Teach your kids about the living and non-living things around us like birds, animals, vehicles etc. This set has 1 picture book each of fruits, flowers, vegetables, birds, vehicles, domestic animals, and wild animals. With more than 40 colorful pictures in each book with names, it’s easy for the young minds to grasp and learn the things easily by seeing the pictures of fruits and flowers. The glossy pages and bright pictures make learning even more fruitful. •	PARTS OF BODY – Introduce your little ones to parts of body with this babys first book. The vibrant pictures and the accurate word labels will encourage fast learning. The words are simple to learn and the high-quality images improve the observational skills. Teach your kids about the senses like sight, hearing, smell, and taste through descriptive pictures. Also, the use of the most important parts of our body and caring our body can be taught through this picture book for kids. •	GOOD HABITS – Inculcate good habits and etiquettes among your kids with the book of good habits. All the good habits are written as well as represented through real pictures so that your children don’t face any difficulty learning them. The good habits like washing hands, drinking milk, brushing teeth, sharing things will become easy for your kids to adopt with the vibrant and explanatory images. •	SHAPES & COLORS – This set contains 1st book of shapes & colors for pre-school learning. Each shapes and colors is well-presented with 2 real-life examples each such as ball and globe images showing sphere. The most used basic shapes like circle, square, triangle, cone, etc. and colors like pink, blue, white are beautifully presented. And the real-life examples such as picture of clock for circular shape and apple for red colour make the learning even more impactful.",₹242
28,26 Years Upsc IAS/ Ips Prelims Topic-Wise Solved Papers...,"English, Paperback, Patel Mrunal",4.5,"(4,959)","The thoroughly Revised and Updated 11th edition of Disha's Publication ""26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2020)"" consists of past years solved papers of the General Studies Paper 1 & 2 distributed into 8 Units and 52 Topics. The USP of the book is its flawless detailed solution to each and every question whose answer key has been validated with UPSC. This new edition also includes an IAS Planner which will help the aspirants in planning their preparation for the Prelim & Main Exam.",₹325
30,The SECRET,"Gujarati, Paperback, Rhonda Byrne",4.4,(633)," The Secret brings you all the secrets that have been discovered in oral traditions over the years. These secrets will help transform your lives forever.  Summary of the Book  	Whether it is literature, religion or philosophy, this book reveals all the fragments of a great secret that will be the key to transforming our lives. The book shows you how to use The Secret to your benefit and in all your interactions with the world. With it, you will be able to handle money, health, relationships and happiness with ease and have everything in your control. Discover and understand the hidden power that is within you. When you’ve done this, you will recognize the things that bring joy to every aspect of your life. The book contains secrets from teachers who have used The Secret to achieve health, wealth and happiness.  About Rhonda Byrne  	Rhonda Byrne is an Australian television writer and producer. She is best known for her New Thoughts works, The Secret. There is a book and a film of the same name. She has been a producer for Sensing Murder.",₹320
31,The Secret,"English, Paperback, Byrne Rhonda",4.4,"(19,039)","About the BookJust like the rest of us, author Rhonda Byrne has been through tough times. And, one such testing phase in Rhonda’s life was when her father passed away. Although Rhonda was depressed at first, she used the laws of attraction to the best of her abilities to overcome her sorrows and to attain a joyful life. In The Secret, she tries to introduce the readers to the same laws that shaped her’s as well as the lives of some of the greatest men and women to have ever lived.About the Author Born in 1945 in Melbourne, Australia, Rhonda Bryne grew up to become an executive television producer, with credits including TV shows such as Oz Encounters: UFO's in Australia (1997), Sensing Murder: Easy Street (2003), Loves Me, Loves Me Not (2003) and one episode of Sensing Murder (2004). But, Rhonda’s life hit an all-time low when her father passed away in 2004. It was during this time when Rhonda read The Science of Getting Rich by Wallace D. Wattles and learnt about the laws of attraction, which helped her battle depression and eventually helped her write The Secret. Her other notable works include The Power, The Magic and Hero. ",₹393
33,"My First Picture Books, My First 1000 Words (Paper Back...","Paperback, Manoj Publications Editorial Board",4.2,(9),"My First Picture Books,  My First Picture Dictionary is an educational Board book helps to introduce the young learners to a variety of everyday transport we use. The book have beautiful,  vibrant images help kids absorb information faster and make learning fun and interactive. These books are excellent teaching tool for teachers and great gifting option for pre-schoolers and toddlers.",₹159
34,The Magic Of The Lost Temple,"English, Paperback, Murty Sudha",4.6,"(2,770)","Perfect as a read-along Bursting with charming illustrations Improves vocabulary skills of children aged 8 to 12 City girl Nooni is surprised at the pace of life in her grandparents' village in Karnataka. But she quickly gets used to the gentle routine there and involves herself in a flurry of activities, including papad making, organizing picnics and learning to ride a cycle, with her newfound friends. Things get exciting when Nooni stumbles upon an ancient fabled stepwell right in the middle of a forest. Join the intrepid Nooni on an adventure of a lifetime in this much-awaited book by Sudha Murty that is heart-warming, charming and absolutely unputdownable.",₹133
35,Ikigai,"English, Hardcover, Garcia Hector",4.6,"(15,037)","THE INTERNATIONAL BESTSELLER We all have an ikigai. It's the Japanese word for 'a reason to live' or 'a reason to jump out of bed in the morning'. It's the place where your needs, desires, ambitions, and satisfaction meet. A place of balance. Small wonder that finding your ikigai is closely linked to living longer. Finding your ikigai is easier than you might think. This book will help you work out what your own ikigai really is, and equip you to change your life. You have a purpose in this world: your skills, your interests, your desires and your history have made you the perfect candidate for something. All you have to do is find it. Do that, and you can make every single day of your life joyful and meaningful. ______________________________ 'I read it and it's bewitched me ever since. I'm spellbound.' Chris Evans 'A refreshingly simple recipe for happiness.' Stylist 'Ikigai gently unlocks simple secrets we can all use to live long, meaningful, happy lives. Warm, patient, and kind, this book pulls you gently along your own journey rather than pushing you from behind.' Neil Pasricha, bestselling author of The Happiness Equation",₹299
36,The 3 Mistakes of My Life,"English, Paperback, Bhagat Chetan",4.4,"(9,481)","Summary of the BookThe 3 Mistakes of My Life is Chetan Bhagat’s third novel. It revolves around the lives of three main characters who are friends. Govind is a normal guy who is ambitious and focuses on becoming a businessman, Ishaan who is a cricket fanatic, patriot and one of the best cricketers in his locality and finally Omi who is the son of the local temple priest. The story describes the intertwined lives of the three characters that bring about the happening of the three mistakes. About the AuthorBorn to an Army officer and a government servant, Chetan Bhagat’s destiny to become a writer was far from foreseen. After completing his mechanical engineering from IIT Delhi, Chetan went on to obtain his MBA from the prestigious IIM Ahmedabad. But, it wasn’t until a decade of trying to fit into the corporate way of living when Chetan decided that he needed to dedicate his life to writing. Since then, Chetan has authored several best-selling novels, such as Five Point Someone, The Girl in Room 105 and 2 States, among others. Not only did Chetan’s works inspire some hit films, such as Kai Po Che, 2 States and 3 Idiots, but they also helped him get featured in Forbes India magazine as one of the top celebrities of India (2016).",₹163
37,Pride & Prejudice,"English, Paperback, Austen Jane",4.5,"(2,813)","Summary of the BookJane Austen’s ‘Pride and Prejudice’ represents the conflict between marrying for love and marrying for economic reasons in the 18th century Georgian England. Mrs Bennet, who is desperate to see her five young daughters get married, makes efforts to arrange a meeting with Mr Bingley, a rich young man who also happens to be their new neighbour. Elizabeth Bennet, the second of the Bennet daughters, struggles with the pressures of the society and also rejects Mr Darcy’s advances and proposals. Buy Pride and Prejudice online and find out how the conflicts are resolved.  About Jane Austen Jane Austen was an English novelist, known for her six novels that critiqued the novels of sensibility of the 18th century. These novels also represent the transition to 19th-century literary realism. These famous novels are Sense and Sensibility (1811), Pride and Prejudice (1813), Mansfield Park ( 1814), and Emma (1816). She also wrote two additional novels, Northanger Abbey and Persuasion, both published posthumously in 1818. ",₹99
39,Nurture Pattern Writing And Stroke Books For Kids | 2 T...,"Paperback, Content Team at Target Publications",4.3,(276),"The Alphabet in simple words is a collection of letters and their sounds. The ABCs of Alphabet work as important building blocks for the linguistic development among children. Alphabets soon begin to take form of words and sentences and thus effectively aid in speech and communication development. Target Publications' Strokes Practice Book for Kids (Combo of 3 Books viz: Stroke Book - A, Stroke Book - B (Capital Alphabets Practice), Stroke Book - C (Enhanced) provide children with ample practice to write the alphabet in a correct manner. We sincerely hope that they become a stepping stone for young minds, towards the world of writing.",₹205
66,Objective General English,"English, Paperback, Bakshi S.P.",4.4,"(43,667)","About the Book Objective General English is an essential book that will help brush-up the language skills of aspirants who are working towards clearing competitive examinations. If you’re appearing for entrance exams - Hotel Management, B.Ed, MBA, MCA courses, and those conducted by UPSC, this book will help you with your command over the language. Written by S.P. Bakshi, this book has been used by numerous people for many years. ",₹210
